date,value,voltage
13-19-56,349.79,1.03
13-19-57,347.31,1.02
13-19-58,359.6,1.05
13-19-59,334.4,0.98
13-20-00,373.14,1.09
13-20-01,321.37,0.94
13-20-02,384.46,1.13
13-20-03,314.49,0.92
13-20-04,389.61,1.14
13-20-05,312.05,0.92
13-20-06,388.03,1.14
13-20-07,315.85,0.93
13-20-08,382.23,1.12
13-20-09,323.44,0.95
13-20-10,371.35,1.09
13-20-11,336.57,0.99
13-20-12,355.3,1.04
13-20-13,353.74,1.04
13-20-14,336.72,0.99
13-20-15,372.71,1.09
13-20-16,321.06,0.94
13-20-17,411.5,1.21
13-20-18,308.99,0.91
13-20-19,377.97,1.11
13-20-20,312.39,0.92
13-20-21,387.93,1.14
13-20-22,324.7,0.95
13-20-23,365.74,1.07
13-20-24,346.73,1.02
13-20-25,341.3,1
13-20-26,366.74,1.08
13-20-27,325.57,0.95
13-20-28,384.35,1.13
13-20-29,309.69,0.91
13-20-30,393.47,1.15
13-20-31,311.76,0.91
13-20-32,385.43,1.13
13-20-33,322.03,0.94
13-20-34,369.19,1.08
13-20-35,341.43,1
13-20-36,348.15,1.02
13-20-37,362.7,1.06
13-20-38,328.24,0.96
13-20-39,380.18,1.11
13-20-40,315.73,0.93
13-20-41,387.6,1.14
13-20-42,310.5,0.91
13-20-43,381.52,1.12
13-20-44,316,0.93
13-20-45,382.14,1.12
13-20-46,328.12,0.96
13-20-47,363.18,1.07
13-20-48,350.95,1.03
13-20-49,343.24,1.01
13-20-51,370.69,1.09
13-20-51,324.38,0.95
13-20-52,387.43,1.14
13-20-53,312.53,0.92
13-20-54,394.08,1.16
13-20-55,308.26,0.9
13-20-56,392.62,1.15
13-20-57,316.86,0.93
13-20-58,378.78,1.11
13-20-59,331.57,0.97
13-21-00,358.55,1.05
13-21-01,354.26,1.04
13-21-02,336.18,0.99
13-21-03,375.56,1.1
13-21-04,317.37,0.93
13-21-05,390.66,1.15
13-21-06,312.72,0.92
13-21-07,385.52,1.13
13-21-08,315.78,0.93
13-21-09,375,1.1
13-21-11,330.55,0.97
13-21-11,355.49,1.04
13-21-12,348.92,1.02
13-21-13,334.89,0.98
13-21-14,371.07,1.09
13-21-15,316.48,0.93
13-21-16,383.79,1.13
13-21-17,311.6,0.91
13-21-18,384.02,1.13
13-21-19,314.83,0.92
13-21-20,371.49,1.09
13-21-21,333.4,0.98
13-21-22,349.34,1.02
13-21-23,355.19,1.04
13-21-24,329.97,0.97
13-21-25,379.17,1.11
13-21-26,314.53,0.92
13-21-27,389.63,1.14
13-21-28,310.86,0.91
13-21-29,390.17,1.14
13-21-31,315.46,0.93
13-21-32,379.84,1.11
13-21-33,332,0.97
13-21-34,353.18,1.04
13-21-35,357.55,1.05
13-21-36,330.67,0.97
13-21-37,377.22,1.11
13-21-38,313.09,0.92
13-21-39,391.94,1.15
13-21-40,311.22,0.91
13-21-41,382.95,1.12
13-21-42,325.96,0.96
13-21-43,359.27,1.05
13-21-44,352.65,1.03
13-21-45,331.99,0.97
13-21-46,379.14,1.11
13-21-47,313.01,0.92
13-21-48,393.25,1.15
13-21-49,309.47,0.91
13-21-50,386.01,1.13
13-21-51,322.57,0.95
13-21-52,363.8,1.07
13-21-53,343.72,1.01
13-21-54,339.49,1
13-21-55,371.51,1.09
13-21-56,317.98,0.93
13-21-57,388.62,1.14
13-21-58,308.49,0.9
13-21-59,389.69,1.14
13-22-00,317.35,0.93
13-22-01,368.4,1.08
13-22-02,343.41,1.01
13-22-03,337.38,0.99
13-22-04,372.82,1.09
13-22-05,314.92,0.92
13-22-06,389.7,1.14
13-22-07,311.16,0.91
13-22-08,379.46,1.11
13-22-09,330.09,0.97
13-22-10,351.94,1.03
13-22-11,361.39,1.06
13-22-12,323.92,0.95
13-22-13,387.14,1.14
13-22-14,312.34,0.92
13-22-15,392.32,1.15
13-22-16,314.15,0.92
13-22-17,373.35,1.09
13-22-18,339.86,1
13-22-19,342.47,1
13-22-20,370.67,1.09
13-22-21,318.53,0.93
13-22-22,391.79,1.15
13-22-23,309.65,0.91
13-22-24,382.82,1.12
13-22-25,323.59,0.95
13-22-26,359.74,1.05
13-22-27,353.28,1.04
13-22-28,326.88,0.96
13-22-29,384.28,1.13
13-22-30,316.77,0.93
13-22-31,385.32,1.13
13-22-32,315.88,0.93
13-22-33,367.38,1.08
13-22-34,340.16,1
13-22-35,336.15,0.99
13-22-36,369.13,1.08
13-22-37,318.87,0.94
13-22-38,384.43,1.13
13-22-39,311.59,0.91
13-22-40,376.26,1.1
13-22-42,327.88,0.96
13-22-42,350.53,1.03
13-22-43,355.67,1.04
13-22-44,326.01,0.96
13-22-45,378.33,1.11
13-22-46,312.22,0.92
13-22-47,382.89,1.12
13-22-48,315.72,0.93
13-22-49,365.68,1.07
13-22-50,339.99,1
13-22-51,337.61,0.99
13-22-52,367.92,1.08
13-22-53,316.54,0.93
13-22-54,384.31,1.13
13-22-55,311.32,0.91
13-22-56,377.41,1.11
13-22-57,329.9,0.97
13-22-58,349.74,1.03
13-22-59,362.23,1.06
13-23-00,325.65,0.95
13-23-02,381.69,1.12
13-23-02,312.82,0.92
13-23-03,380.87,1.12
13-23-04,320.19,0.94
13-23-05,359.64,1.05
13-23-06,345.82,1.01
13-23-07,331.15,0.97
13-23-08,376.82,1.11
13-23-09,312.04,0.92
13-23-10,389.56,1.14
13-23-11,313.7,0.92
13-23-12,371.31,1.09
13-23-13,334,0.98
13-23-14,341.65,1
13-23-15,366.67,1.08
13-23-16,315.35,0.92
13-23-17,383.7,1.13
13-23-18,314.41,0.92
13-23-19,370.42,1.09
13-23-20,336.62,0.99
13-23-22,339.07,0.99
13-23-22,372.43,1.09
13-23-23,315.63,0.93
13-23-24,384.7,1.13
13-23-25,317.32,0.93
13-23-26,366.47,1.07
13-23-27,341.76,1
13-23-28,336.64,0.99
13-23-29,372.53,1.09
13-23-30,310.75,0.91
13-23-32,381.57,1.12
13-23-32,315.83,0.93
13-23-33,367.88,1.08
13-23-34,338.52,0.99
13-23-35,335.77,0.98
13-23-36,369.33,1.08
13-23-37,312.5,0.92
13-23-38,389.87,1.14
13-23-39,316.07,0.93
13-23-40,369.13,1.08
13-23-41,341.74,1
13-23-42,336.79,0.99
13-23-43,367.32,1.08
13-23-45,315.64,0.93
13-23-46,383.08,1.12
13-23-47,312.02,0.92
13-23-48,373.72,1.1
13-23-49,337.54,0.99
13-23-50,338.6,0.99
13-23-51,372.55,1.09
13-23-52,315.92,0.93
13-23-53,381.96,1.12
13-23-54,310.09,0.91
13-23-55,369.36,1.08
13-23-56,335.15,0.98
13-23-57,342.8,1.01
13-23-58,368.23,1.08
13-23-59,312.5,0.92
13-24-00,384.48,1.13
13-24-01,312.82,0.92
13-24-02,374.53,1.1
13-24-03,332.41,0.97
13-24-04,343.31,1.01
13-24-05,370.84,1.09
13-24-06,313.31,0.92
13-24-07,385.66,1.13
13-24-08,309.88,0.91
13-24-09,375.99,1.1
13-24-10,331.96,0.97
13-24-11,345.85,1.01
13-24-12,364.03,1.07
13-24-13,318.32,0.93
13-24-14,388.24,1.14
13-24-15,310.45,0.91
13-24-16,379.66,1.11
13-24-17,331.51,0.97
13-24-18,347.53,1.02
13-24-19,368.91,1.08
13-24-20,319.94,0.94
13-24-21,388.81,1.14
13-24-22,312.99,0.92
13-24-23,373.81,1.1
13-24-24,329.01,0.96
13-24-25,348.36,1.02
13-24-26,359.53,1.05
13-24-27,321.33,0.94
13-24-28,379.78,1.11
13-24-29,312.38,0.92
13-24-30,378.41,1.11
13-24-31,319.51,0.94
13-24-32,360,1.06
13-24-33,348.07,1.02
13-24-34,330.57,0.97
13-24-35,373.89,1.1
13-24-36,313.69,0.92
13-24-37,382.52,1.12
13-24-38,315.62,0.93
13-24-39,368.62,1.08
13-24-40,337.96,0.99
13-24-41,342.33,1
13-24-42,361.01,1.06
13-24-43,316.49,0.93
13-24-44,381.52,1.12
13-24-45,312.23,0.92
13-24-46,378.2,1.11
13-24-47,320.4,0.94
13-24-48,359.33,1.05
13-24-49,343.07,1.01
13-24-50,333.4,0.98
13-24-51,367.81,1.08
13-24-52,315.13,0.92
13-24-53,380.65,1.12
13-24-54,313.23,0.92
13-24-55,375.31,1.1
13-24-56,325.13,0.95
13-24-57,354.31,1.04
13-24-58,349.47,1.02
13-24-59,329.71,0.97
13-25-00,372.96,1.09
13-25-01,312.38,0.92
13-25-02,381.21,1.12
13-25-03,313.48,0.92
13-25-04,368.39,1.08
13-25-05,331.26,0.97
13-25-06,344.43,1.01
13-25-07,357.73,1.05
13-25-08,321.5,0.94
13-25-09,377.77,1.11
13-25-10,311.43,0.91
13-25-11,379.25,1.11
13-25-12,318.3,0.93
13-25-13,363.02,1.06
13-25-14,336.97,0.99
13-25-15,339.43,1
13-25-16,361.84,1.06
13-25-17,321.35,0.94
13-25-18,377.78,1.11
13-25-19,311.26,0.91
13-25-20,379.73,1.11
13-25-21,312.39,0.92
13-25-22,368.13,1.08
13-25-23,331.85,0.97
13-25-24,345.48,1.01
13-25-25,355.67,1.04
13-25-26,324.07,0.95
13-25-27,375.42,1.1
13-25-28,311.62,0.91
13-25-29,380.16,1.11
13-25-30,315.02,0.92
13-25-31,367.33,1.08
13-25-32,330.72,0.97
13-25-33,346.88,1.02
13-25-34,352.4,1.03
13-25-35,327.11,0.96
13-25-36,371.03,1.09
13-25-37,313.96,0.92
13-25-38,380.17,1.11
13-25-39,312.5,0.92
13-25-40,377.82,1.11
13-25-41,320.31,0.94
13-25-42,363.97,1.07
13-25-43,335.59,0.98
13-25-44,344.94,1.01
13-25-45,356.12,1.04
13-25-46,328.49,0.96
13-25-47,370.8,1.09
13-25-48,317.7,0.93
13-25-49,378.2,1.11
13-25-50,313.27,0.92
13-25-51,381.79,1.12
13-25-53,311.66,0.91
13-25-53,376.74,1.1
13-25-54,322.54,0.95
13-25-55,361.15,1.06
13-25-56,333.69,0.98
13-25-58,345.62,1.01
13-25-59,354.34,1.04
13-26-00,329.09,0.97
13-26-01,370.44,1.09
13-26-02,316.85,0.93
13-26-03,378.53,1.11
13-26-04,310.46,0.91
13-26-05,381.45,1.12
13-26-06,311.78,0.91
13-26-07,375.46,1.1
13-26-08,318.14,0.93
13-26-09,362.52,1.06
13-26-10,336.12,0.99
13-26-11,347.05,1.02
13-26-12,352.13,1.03
13-26-13,330.08,0.97
13-26-14,368.63,1.08
13-26-15,316.89,0.93
13-26-16,378.12,1.11
13-26-17,309.56,0.91
13-26-18,380.64,1.12
13-26-19,313.74,0.92
13-26-20,372.86,1.09
13-26-21,323.14,0.95
13-26-22,358.35,1.05
13-26-23,339.88,1
13-26-24,339.47,1
13-26-25,353.34,1.04
13-26-26,318.8,0.93
13-26-27,389.2,1.14
13-26-28,308.25,0.9
13-26-29,388.5,1.14
13-26-30,309.74,0.91
13-26-31,381.14,1.12
13-26-32,324.86,0.95
13-26-33,357.86,1.05
13-26-34,351.77,1.03
13-26-35,330.17,0.97
13-26-36,378,1.11
13-26-37,308.97,0.91
13-26-38,391.77,1.15
13-26-39,308.18,0.9
13-26-40,381.38,1.12
13-26-41,325.43,0.95
13-26-42,355.78,1.04
13-26-43,354.2,1.04
13-26-44,326.75,0.96
13-26-45,381.94,1.12
13-26-46,308.18,0.9
13-26-47,388.41,1.14
13-26-48,313.4,0.92
13-26-49,365.47,1.07
13-26-50,341.74,1
13-26-51,335.28,0.98
13-26-52,374.13,1.1
13-26-53,310.76,0.91
13-26-54,389.78,1.14
13-26-55,313.44,0.92
13-26-56,369.76,1.08
13-26-57,342.28,1
13-26-58,334.03,0.98
13-26-59,377.03,1.11
13-27-00,310.42,0.91
13-27-01,389.08,1.14
13-27-02,312.62,0.92
13-27-04,371.16,1.09
13-27-04,337.17,0.99
13-27-05,338.44,0.99
13-27-06,369.54,1.08
13-27-07,314.7,0.92
13-27-08,388.89,1.14
13-27-09,309.44,0.91
13-27-10,380.04,1.11
13-27-11,328.02,0.96
13-27-12,350.2,1.03
13-27-13,363.63,1.07
13-27-14,318.79,0.93
13-27-15,388.76,1.14
13-27-16,308.48,0.9
13-27-17,383.07,1.12
13-27-18,322.92,0.95
13-27-19,354.63,1.04
13-27-20,355.56,1.04
13-27-21,324.51,0.95
13-27-22,384.53,1.13
13-27-24,306.91,0.9
13-27-24,387.92,1.14
13-27-25,316.17,0.93
13-27-26,367.31,1.08
13-27-27,343.55,1.01
13-27-28,335.28,0.98
13-27-29,377.54,1.11
